,Year,State Code,Region,White Convicted,Other Convicted,Executions,Executions Scaled,State
439,1977,MN,Midwest,0,0,0,0.0,Minnesota
440,1977,MS,South,0,0,0,0.0,Mississippi
441,1977,MO,Midwest,0,0,0,0.0,Missouri
442,1977,MT,West,0,0,0,0.0,Montana
443,1977,NE,Midwest,0,0,0,0.0,Nebraska
444,1977,NV,West,0,0,0,0.0,Nevada
445,1977,NH,Northeast,0,0,0,0.0,New Hampshire
446,1977,NJ,Northeast,0,0,0,0.0,New Jersey
447,1977,NM,West,0,0,0,0.0,New Mexico
448,1977,NY,Northeast,0,0,0,0.0,New York
449,1977,NC,South,0,0,0,0.0,North Carolina
450,1977,ND,Midwest,0,0,0,0.0,North Dakota
451,1977,OH,Midwest,0,0,0,0.0,Ohio
452,1977,OK,South,0,0,0,0.0,Oklahoma
453,1977,OR,West,0,0,0,0.0,Oregon
454,1977,PA,Northeast,0,0,0,0.0,Pennsylvania
455,1977,RI,Northeast,0,0,0,0.0,Rhode Island
456,1977,SC,South,0,0,0,0.0,South Carolina
457,1977,SD,Midwest,0,0,0,0.0,South Dakota
458,1977,TN,South,0,0,0,0.0,Tennessee
459,1977,TX,South,0,0,0,0.0,Texas
460,1977,VT,Northeast,0,0,0,0.0,Vermont
461,1977,VA,South,0,0,0,0.0,Virginia
462,1977,WA,West,0,0,0,0.0,Washington
463,1977,WV,South,0,0,0,0.0,West Virginia
464,1977,WI,Midwest,0,0,0,0.0,Wisconsin
465,1977,WY,West,0,0,0,0.0,Wyoming
466,1979,FE,Federal,0,0,0,0.0,Federal
467,1979,AL,South,0,0,0,0.0,Alabama
468,1979,AK,West,0,0,0,0.0,Alaska
469,1979,AZ,West,0,0,0,0.0,Arizona
470,1979,AR,South,0,0,0,0.0,Arkansas
471,1979,CA,West,0,0,0,0.0,California
472,1979,CO,West,0,0,0,0.0,Colorado
473,1979,CT,Northeast,0,0,0,0.0,Connecticut
474,1979,DE,South,0,0,0,0.0,Delaware
475,1979,GA,South,0,0,0,0.0,Georgia
476,1979,HI,West,0,0,0,0.0,Hawaii
477,1979,ID,West,0,0,0,0.0,Idaho
478,1979,IL,Midwest,0,0,0,0.0,Illinois
